Image_File,Cluster
27882,7
19380,3
58847,5
22409,3
15832,2
27357,1
19855,7
46655,5
34710,5
59275,5
55212,5
38777,8
47015,2
26965,6
23249,8
56307,6
20889,8
53459,9
2051,7
12839,5
48167,0
25870,0
25402,5
17315,9
49080,5
57935,8
57547,5
28582,4
36045,0
16927,7
16555,1
24242,2
49727,5
28225,5
59614,6
38316,0
11698,7
18606,9
47474,8
14661,7
26176,9
54033,0
27091,2
5849,7
46593,9
35531,9
27736,0
15021,7
22068,6
43918,3
24184,8
57126,2
49893,4
3270,1
36424,8
6289,7
24623,0
16134,6
28644,5
45321,8
36383,5
32948,8
2842,1
44913,3
2397,8
17774,9
48506,6
2893,9
25715,5
2346,7
7418,2
56010,5
37512,5
37960,9
28132,5
40309,9
24155,2
16642,1
36352,5
28695,6
3506,8
3974,2
46930,5
46542,4
10009,5
39587,9
5898,8
15757,1
58722,1
19097,2
39220,6
14117,3
1986,1
26600,8
11649,2
18170,5
47302,0
38460,0
38812,2
8918,9
45036,4
36094,0
28921,0
16223,7
24946,5
57596,5
24534,6
36733,6
3167,8
6639,8
17811,5
17463,0
20858,9
53488,6
29313,0
44676,7
56471,5
7079,0
37173,0
11228,4
14576,8
18963,6
55564,5
55916,5
23298,8
34066,5
59503,5
35181,0
46123,5
58896,5
54483,5
27853,6
10468,7
19884,5
30178,4
46684,5
35626,8
15491,8
51808,2
39641,8
19668,7
46868,5
22646,0
10151,8
30833,2
43891,8
9272,9
51143,5
5215,5
8395,6
42976,3
18028,0
38538,8
4827,3
4455,8
50703,1
31201,5
48328,5
12604,2
20113,6
41411,6
41863,8
7932,3
56148,9
53616,4
32314,4
21753,0
49568,0
40984,5
33554,7
33926,5
52056,1
6300,2
23467,5
23815,8
4793,1
26339,4
42165,1
38159,9
31660,1
30787,1
27579,1
22227,2
9613,7
43082,5
30020,4
39719,2
5674,8
10297,8
51522,0
22580,5
28879,3
33692,8
49109,5
52390,6
3798,8
6761,7
57369,3
52437,6
7686,1
48749,9
12265,7
56529,5
7121,0
32003,5
2109,3
17998,1
41706,8
44058,5
20204,7
12961,8
12513,8
25928,6
6017,7
13886,7
3749,1
52341,6
33643,8
13353,8
52894,6
45618,8
40146,5
10993,1
54978,3
51254,9
35008,6
30756,2
10246,0
51981,6
22923,4
15518,8
43053,5
18498,8
31116,5
34648,8
50866,6
4742,8
42613,5
14358,8
23311,2
11406,1
38188,9
11874,9
3328,5
13095,7
6476,1
6804,8
33222,2
40280,3
52087,6
13732,7
40527,5
33585,1
32462,1
32810,8
7236,8
56199,5
20665,7
8344,8
26789,5
8891,7
11067,7
4484,8
23770,9
51635,4
22697,8
5911,8
10180,9
43395,0
30337,1
9976,5
35469,9
22130,8
10627,8
43432,6
29419,4
12437,5
20320,7
53382,8
17369,5
37679,0
12390,5
7773,9
20487,0
53857,2
16529,7
21560,0
21912,6
6694,5
40062,5
6133,8
33767,8
36039,0
22807,1
22475,1
10362,6
5781,8
54389,5
43177,4
19829,7
46629,5
51370,1
5026,6
30672,9
58449,4
47069,3
42737,9
11950,8
50297,5
23235,6
31032,3
42090,8
4666,4
11285,3
50942,3
23592,6
50530,3
16148,2
28638,8
6552,5
52604,0
45888,0
36458,8
33306,5
41243,9
29078,9
48908,5
41996,5
32546,5
53044,6
7312,2
11143,7
42883,0
31821,4
8260,0
59668,6
1559,0
4207,5
9387,8
46248,2
43516,1
39958,9
5447,5
5835,2
9420,7
30213,1
9356,5
30565,9
30917,3
54739,8
9883,7
43260,2
10075,1
39989,8
5496,1
22762,6
23685,0
50627,3
4571,8
11192,0
4903,5
31325,6
8964,8
8516,0
1588,6
50180,0
23122,9
11635,4
42852,0
53732,8
20790,7
7816,8
12087,2
20037,5
53095,5
25769,5
32597,1
41535,5
33470,9
6224,6
3908,3
52172,5
45859,2
40375,2
24129,7
13160,2
21677,4
4110,8
